College ID,College Name,City,State
7042047,Yeshwant Mahavidyalaya,Wardha,Maharashtra
7050277,GD Goenka University Powered by Sunstone,Gurgaon,Haryana
7050716,Ambekeshwar Group of Institutions,Lucknow,Uttar Pradesh
7037450,Dr. Narayana Degree College of Hotel Management,Secunderabad,Telangana
7050713,Eshan Group of Institutions,Agra,Uttar Pradesh
7031900,Bapu Gujarat Knowledge Village,Gandhinagar,Gujarat
7050707,K.J. Institute Of Engineering And Technology,Vadodara,Gujarat
7041253,Visvesvaraya College of Engineering and Technology,Ranga Reddy,Telangana
7052721,RV College of Engineering,Bangalore,Karnataka
7049557,Techno Polytechnic College,Durgapur,West Bengal
7037310,Dr. I.T. Group of Institutions,Rajpura,Punjab
7052720,Polaris School of Technology,Bangalore,Karnataka
7050743,Mohamed Sathak A J College of Engineering,Chennai,Tamil Nadu
7033500,C.K Pithawalla College of Engineering and Technology,Surat,Gujarat
7050801,Anand Institute of Higher Technology,Chennai,Tamil Nadu
7051009,"Veerayatan Institute of Engineering, Mandvi",Kutch District,Gujarat
7050411,Kumaraguru College of Technology,Coimbatore,Tamil Nadu
7038258,Exalt College of Engineering and Technology,Hajipur,Bihar
7051461,Ajeenkya DY Patil University-Powered by Emversity,Pune,Maharashtra
7052651,"K. K. Wagh Arts, Commerce, Science and Computer Science College",Nashik,Maharashtra
7006133,"J S College, Mathura",Mathura,Uttar Pradesh
7044107,ACE Engineering College,Hyderabad,Telangana
7050017,Aalim Muhammed Salegh College of Engineering,Chennai,Tamil Nadu
7050020,AAM Business School,Chennai,Tamil Nadu
7008786,"KIT College of Engineering, Kolhapur",Kolhapur,Maharashtra
7052371,"Bharati Vidyapeeth University, Institute of Management and Rural Development Administration ",Sangli,Maharashtra
7051393,Abhedananda Mahavidyalaya,Birbhum,West Bengal
7042694,Kishkinda University,Ballari,Karnataka
7016273,"National Institute of Electronics and Information Technology, Aurangabad",Aurangabad,Maharashtra
7042190,AIIMS Bhopal - All India Institute of Medical Sciences,Bhopal,Madhya Pradesh
7050012,Aakson Institute For Management Studies,Bangalore,Karnataka
